gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
no,marry,stay,stay,more,more,never,exceptions
marry,marry,restrict,restrict,right,right,choice,choice
marry,marry,stay,stay,more,more,choice,choice
union,marry,stay,stay,,right,need,exceptions
union,union,deport,stay,more,more,exceptions,choice
no,marry,stay,stay,less,less,exceptions,choice
marry,no,restrict,stay,more,more,need,need
union,marry,stay,restrict,less,right,exceptions,exceptions
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,stay,deport,right,right,exceptions,exceptions
marry,marry,stay,citizen,more,more,need,choice
no,marry,restrict,deport,more,more,never,never
marry,marry,stay,stay,more,more,choice,choice
marry,marry,deport,restrict,,right,exceptions,need
marry,marry,deport,deport,more,right,exceptions,choice
marry,marry,stay,citizen,more,right,exceptions,exceptions
union,marry,deport,stay,more,more,never,choice
union,no,restrict,restrict,less,less,never,never
marry,marry,deport,deport,right,right,exceptions,need
marry,marry,restrict,stay,more,more,never,exceptions
marry,no,stay,deport,more,right,choice,exceptions
union,no,stay,stay,right,right,need,need
marry,marry,restrict,deport,more,right,exceptions,need
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,need,choice
union,union,deport,stay,right,right,exceptions,never
union,union,deport,stay,less,less,exceptions,
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,restrict,right,right,choice,choice
union,union,restrict,deport,less,less,exceptions,exceptions
marry,marry,stay,restrict,more,more,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,never
marry,marry,stay,stay,more,more,choice,choice
marry,marry,deport,stay,right,right,exceptions,choice
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
union,union,deport,restrict,right,right,exceptions,exceptions
union,union,stay,stay,right,right,choice,never
marry,marry,stay,stay,right,more,exceptions,choice
union,union,restrict,stay,less,right,need,exceptions
no,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,union,stay,stay,right,right,never,exceptions
union,union,stay,stay,right,right,need,choice
marry,marry,deport,stay,more,more,choice,exceptions
no,union,restrict,stay,right,right,choice,need
marry,marry,citizen,citizen,more,more,choice,choice
union,union,stay,deport,less,less,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
union,no,stay,deport,right,right,exceptions,exceptions
union,union,deport,stay,right,less,exceptions,exceptions
marry,marry,stay,stay,more,right,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,no,restrict,restrict,right,right,exceptions,never
